,name,Latitude,Longitude,Temp_Max,Humidity,Cloudiness,Wind Speed,Country,Date
0,Norman Wells,65,-126.8329,-25.6,68,75,2.3,CA,1611760334
1,Sørland,67,12.6934,33.8,69,40,24.61,NO,1611760334
2,Hermanus,-34,19.2345,72.0,52,89,3.0,ZA,1611760334
3,Saint-Philippe,-21,55.7679,82.4,69,0,11.5,RE,1611760334
4,Kapaa,22,-159.319,73.99,88,40,16.11,US,1611760334
5,Keti Bandar,24,67.4497,64.83,52,0,7.58,PK,1611760334
6,Rikitea,-23,-134.9692,79.43,73,0,15.39,PF,1611760335
7,Ushuaia,-54,-68.3,44.6,70,75,16.11,AR,1611760256
8,Petauke,-14,31.3253,76.28,85,76,1.32,ZM,1611760335
9,Saskylakh,71,114.0833,-40.23,80,73,2.51,RU,1611760335
10,Mataura,-46,168.8643,53.01,76,65,23.0,NZ,1611760335
11,Stranda,62,6.9358,21.99,73,31,6.78,NO,1611760335
12,The Valley,18,-63.0578,82.4,61,20,16.11,AI,1611760335
13,Aksarka,66,67.7975,-34.01,83,87,2.28,RU,1611760336
14,Chokurdakh,70,147.9167,-21.68,86,100,13.02,RU,1611760336
15,Prince Rupert,54,-130.3201,33.8,86,90,5.75,CA,1611760213
16,Solnechnyy,50,136.6319,-9.89,85,100,3.74,RU,1611760336
17,Yellowknife,62,-114.3525,-9.0,77,40,3.44,CA,1611760336
18,Bethel,41,-73.414,30.99,86,90,3.44,US,1611760336
19,Albany,42,-73.9662,30.99,67,91,3.0,US,1611760337
20,Te Anau,-45,167.7167,49.6,79,90,6.89,NZ,1611760303
21,Hasaki,35,140.8333,42.8,65,75,10.36,JP,1611760156
22,Madīnat Sittah Uktūbar,29,31.05,73.0,23,20,14.97,EG,1611760337
23,Puerto Escondido,15,-97.0667,81.34,50,43,1.57,MX,1611760337
24,Bathsheba,13,-59.5167,84.2,61,40,24.16,BB,1611760337
25,Port Macquarie,-31,152.9167,73.0,79,35,6.02,AU,1611760065
26,Cape Town,-33,18.4232,73.0,49,20,26.46,ZA,1611760338
27,Lata,40,-8.3327,61.0,92,100,1.99,PT,1611760338
28,Upernavik,72,-56.1549,1.36,91,100,4.74,GL,1611760338
29,Pangnirtung,66,-65.7125,-2.2,78,1,2.3,CA,1611760338
30,Saint Paul Harbor,57,-152.4072,30.2,80,1,0.29,US,1611760339
31,Innisfail,-17,146.0333,75.67,88,96,4.25,AU,1611760138
32,Dunedin,-45,170.5036,55.99,73,33,1.99,NZ,1611760339
