,name,Latitude,Longitude,Temp_Max,Humidity,Cloudiness,Wind Speed,Country,Date
0,Oodweyne,9.4092,45.064,80.78,16,0,10.83,SO,1611820113
1,Mataura,-46.1927,168.8643,48.99,80,76,10.0,NZ,1611820113
2,Diamantino,-14.4086,-56.4461,71.42,85,100,1.41,BR,1611820114
3,Arraial do Cabo,-22.9661,-42.0278,75.67,84,100,23.51,BR,1611820114
4,Saskylakh,71.9167,114.0833,-44.28,78,48,3.24,RU,1611820114
5,Ushuaia,-54.8,-68.3,39.2,87,75,3.44,AR,1611820114
6,Saint-Philippe,-21.3585,55.7679,87.8,55,49,8.05,RE,1611820114
7,Vardø,70.3705,31.1107,26.6,59,75,21.85,NO,1611820114
8,Katsuura,35.1333,140.3,39.2,93,75,14.97,JP,1611820047
9,Vila Franca do Campo,37.7167,-25.4333,61.0,94,75,11.5,PT,1611820115
10,Trat,12.5,102.5,91.99,62,20,6.91,TH,1611820115
11,Jamestown,42.097,-79.2353,19.0,86,90,8.32,US,1611820115
12,Penápolis,-21.4197,-50.0775,72.23,90,100,4.68,BR,1611820115
13,Panambi,-28.2925,-53.5017,67.55,96,15,7.99,BR,1611820115
14,Lihula,58.6814,23.8453,30.0,68,76,1.01,EE,1611820115
15,Lebu,-37.6167,-73.65,55.78,82,99,2.8,CL,1611820116
16,San Cristobal,7.7669,-72.225,62.78,80,100,1.66,VE,1611820019
17,Touros,-5.1989,-35.4608,77.0,83,40,3.44,BR,1611820116
18,Hobart,-42.8794,147.3294,62.01,51,75,14.97,AU,1611820106
19,Mehamn,71.0357,27.8492,24.8,74,75,18.41,NO,1611820116
20,Longyearbyen,78.2186,15.6401,1.4,60,20,24.16,SJ,1611819920
21,Leshukonskoye,64.8989,45.7622,8.46,95,81,6.06,RU,1611820117
22,Kavaratti,10.5669,72.642,80.62,72,84,13.38,IN,1611820117
23,Vaini,-21.2,-175.2,75.2,94,90,3.44,TO,1611820117
